Item_ID,CANS_6_21_ID,CANS_0_5_ID,Item_Name ,Item_Abbr,Description,Rate_0,Rate_1,Rate_2,Rate_3,Rate_No,Rate_Yes,Rate_NA,Confidential_by_Default,Questions,Supplemental,0-5,6-21,Need,Strength,Background_Needs,Outcome_Malleable,Danger_Self,Danger_Others
55,T05,T05,Medical Trauma,MEDICAL_TRAUMA,"This item describes whether or not the youth has experienced medically-related trauma, resulting from, for example, inpatient hospitalizations, outpatient procedures, and significant injuries.",,,,,There is no evidence that the child/youth has experienced any medical trauma. ,"Child/youth has had a medical experience that was perceived as emotionally or mentally overwhelming. This includes events that were acute in nature and did not result in ongoing medical needs; associated distress such as minor surgery, stitches or bone setting; acute injuries and moderately invasive medical procedures such as major surgery that required only short term hospitalization; events that may have been life threatening and may have resulted in chronic health problems that alter the child/youth's physical functioning. A suspicion that a child/youth has had a medical experience that was perceived as emotionally or mentally overwhelming should be rated here.",,,"• Has the child/youth had any broken bones, stitches or other medical procedures? 
• Has the child/youth had to go to the emergency room, or stay overnight in the hospital?
","This item takes into account the impact of the event on the child/youth. It describes experiences in which the child/youth is subjected to medical procedures that are experienced as upsetting and overwhelming. A child/youth born with physical deformities who is subjected to multiple surgeries could be included. A child/ youth who must experience chemotherapy or radiation could also be included. Children/youth who experience an accident and require immediate medical intervention that results in on-going physical limitations or deformities (e.g., burn victims) could be included here. Common medical procedures, which are generally not welcome or pleasant but are also not emotionally or psychologically overwhelming for children (e.g., shots, pills) would generally not be rated here.",1,1,1,,1,,,
56,T06,T06,Witness to Family Violence,WITNESS_FAMILY_VIOLENCE,This item describes exposure to violence within the child/youth's home or family.,,,,,There is no evidence the child/youth has witnessed family violence. ,"Child/youth has witnessed, or there is a suspicion that they witnessed family violence - single, repeated, or severe episodes. This includes episodes of family violence but no significant injuries (i.e. requiring emergency medical attention) and episodes in which significant injuries have occurred as a direct result of the violence.",,,"• Is there frequent fighting in the child/youth's family?
• Does the fighting ever become physical?
",,1,1,1,,1,,,
57,T07,T07,Witness to Community/School Violence,WITNESS_COMMUNITY_SCHOOL_VIOLENCE,This item describes the exposure to incidents of violence the youth has witnessed or experienced in his/her community. This includes witnessing violence at the child/youth's school or educational setting.,,,,,There is no evidence that the child/youth has witnessed violence in their community or school. ,"Child/youth has witnessed or experienced violence in their community or school, such as: fighting; friends/family injuries as a result of violence; severe and repeated instances of violence and/or the death of another person in their community/school as a result of violence; is the direct victim of violence/criminal activity in the community/school that was life threatening; or has experienced chronic/ongoing impact as a result of community/school violence (e.g., family member injured and no longer able to work). A suspicion that the child/youth has witnessed or experienced violence in the community would be rated here.",,,"• Does the child/youth live in a neighborhood with frequent violence?
• Has the child/youth witnessed or directly experienced violence at his/her school?
",,1,1,1,,1,,,
58,T08,T08,Natural or Manmade Disaster,NATURAL_MANMADE_DISASTER,This item describes the child/youth's exposure to either natural or manmade disasters.,,,,,"There is no evidence that the child/youth has experienced, been exposed to or witnessed natural or manmade disasters. ","Child/youth has experienced, been exposed to or witnessed natural or manmade disasters either directly or second-hand (e.g., on television, hearing others discuss disasters). This includes disasters such as a fire or earthquake or manmade disaster; car accident, plane crashes, or bombings; observing a caregiver who has been injured in a car accident or fire or watching a neighbor's house burn down; a disaster that caused significant harm or death to a loved one; or there is an ongoing impact or life disruption due to the disaster (e.g. caregiver loses job). A suspicion that the child/youth has experienced, been exposed to or witnessed natural or manmade disasters either directly or second-hand would be rated here.",,,"• Has the child/youth been present during a natural or manmade disaster?
• Does the child/youth watch television shows containing these themes or overhear adults talking about these kinds of disasters?
",,1,1,1,,1,,,
59,T09,T09,War/Terrorism Affected,WAR_TERRORISM_AFFECTED,"This item describes the child/youth's exposure to war, political violence, torture or terrorism. ",,,,,"No evidence that the child/youth has been exposed to war, political violence, torture or terrorism. ","Child/youth has experienced, or there is suspicion that they experienced or been affected by war, terrorism or political violence. Examples include: Family members directly related to the child/youth may have been exposed to war, political violence, or torture resulting in displacement, injury or disability, or death; parents may have been physically or psychologically disabled from the war and are unable to adequately care for the child/youth; child/youth may have spent an extended amount of time in a refugee camp, or feared for their own life during war or terrorism due to bombings or shelling very near to them; child/youth may have been directly injured, tortured, or kidnapped in a terrorist attack; child/youth may have served as a soldier, guerrilla, or other combatant in their home country. Also included is a child/youth who did not live in war or terrorism-affected region or refugee camp, but whose family was affected by war. ",,,"• Has the child/youth or their family lived in a war torn region?
• How close were they to war or political violence, torture or terrorism?
• Was the family displaced?
","Terrorism is defined as ""the calculated use of violence or the threat of violence to inculcate fear, intended to coerce or to intimidate governments or societies in the pursuit of goals that are generally political, religious or ideological"". Terrorism includes attacks by individuals acting in isolation (e.g. sniper attacks).",1,1,1,,1,,,
60,T10,T10,Victim/Witness to Criminal Activity,VICTIM_WITNESS_CRIMINAL_ACTIVITY,"This item describes the child/youth's exposure to criminal activity. Criminal behavior includes any behavior for which an adult could go to prison including drug dealing, prostitution, assault, or battery.",,,,,There is no evidence that the child/youth has been victim of or a witness to criminal activity.,"Child/youth has been victimized, or there is suspicion that they have been victimized or has witnessed criminal activity. This includes a single instance, multiple instances, or chronic and severe instances of criminal activity that was life threatening or caused significant physical harm, or child/youth has witnessed the death of a family friend or loved one.",,,"• Has the child/youth or someone in their family ever been the victim of a crime?
• Has the child/youth seen criminal activity in the community or home?
","Any behavior that could result in incarceration is considered criminal activity. A child/youth who has been sexually abused or witnesses a sibling being sexually abused or physically abused to the extent that assault charges could be filed would be rated here and on the appropriate abuse-specific items. A youth who has witnessed drug dealing, prostitution, assault or battery would also be rated on this item.",1,1,1,,1,,,
61,T11,T11,Disruptions in Caregiving/Attachment Losses,DISRUPTIONS_CG_ATTACHMENT_LOSSES,"This item documents the extent to which a child/youth has had one or more major changes in caregivers, potentially resulting in disruptions in attachment.",,,,,There is no evidence that the youth has experienced disruptions in caregiving and/or attachment losses.,"Child/youth has been exposed to, or there is suspicion that they were exposed to, at least one disruption in caregiving with familiar alternative caregivers or unknown caregivers (this includes placement in foster or other out-of-home care such as residential care facilities). Child/youth may or may not have had ongoing contact with primary attachment figure(s) during this disruption. Shift in caregiving may have been temporary or permanent.",,,"• Has the child/youth ever lived apart from their caregivers? 
• What happened that resulted in the youth living apart from their caregivers?
","Children/youth who have been exposed to disruptions in caregiving involving separation from primary attachment figure(s) and/or attachment losses would be rated here. Children/youth who have had placement changes, including stays in foster care, residential treatment facilities or juvenile justice settings, can be rated here. Short-term hospital stays or brief juvenile detention stays, during which the child/youth's caregiver remains the same, would not be rated on this item.",1,1,1,,1,,,
62,T12,T12,Parental Criminal Behaviors,CG_CRIMINAL_BEHAVIOR,"This item describes the criminal behavior of both biological and step parents, and other legal guardians, but not foster parents.",,,,,There is no evidence that child/youth's parents have ever engaged in criminal behavior.,One or both of the child/youth's parents/guardians have a history of criminal behavior that resulted in a conviction or incarceration. A suspicion that one or both of the child/youth's parents/guardians have a history of criminal behavior that resulted in conviction or incarceration would be rated here.,,,Has the child/youth's parent/guardian or family been involved in criminal activities or ever been in jail?,,1,1,1,,1,,,
63,,EC06,Attachment Difficulties,ATTACHMENT_DIFFICULTIES,"This item is used to describe the child who is having difficulties adjusting to a traumatic experience, as defined by the child/youth. This is one item where speculation about why a person is displaying a certain behavior is considered. There should be an inferred link between the trauma and the behavior.","No current need; no need for action or intervention. No evidence that child/youth has experienced a traumatic life event, OR child/youth has adjusted well to traumatic/adverse experiences. ","Identified need requires monitoring, watchful waiting, or preventive activities. The child/youth has experienced a traumatic event and there are some changes in their behavior that are managed or supported by caregivers. These symptoms are expected to ease with the passage of time and therefore no current intervention is warranted. Child/youth may be in the process of recovering from a more extreme reaction to a traumatic experience, which may require a need to watch these symptoms or engage in preventive action.","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Clear evidence of adjustment problems associated with traumatic life event(s). Symptoms can vary widely and may include sleeping or eating disturbances, regressive behavior, behavior problems or problems with attachment. Adjustment is interfering with child/youth's functioning in at least one life domain. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Clear evidence of debilitating level of trauma symptoms that makes it virtually impossible for the child to function in any life domain including symptoms such as flashbacks, nightmares, significant anxiety, intrusive thoughts, and/or re-experiencing trauma (consistent with PTSD).",,,,,"• Has the child experienced a traumatic event? 
• Does the child experience frequent nightmares?
• Is the child troubled by flashbacks?
• What are the child's current coping skills?
",,1,,1,,,1,,
64,,EC07,Regulatory,REGULATORY,"Item refers to all dimensions of self-regulation, including the quality and predictability of sucking/feeding, sleeping, elimination, activity level/intensity, sensitivity to external stimulation, and ability to be consoled.","No current need; no need for action or intervention. Strong evidence the child is developing strong self-capacities. This is indicated by the capacity to fall asleep, regular patterns of feeding and sleeping. Young infants can regulate breathing and body temperature, are able to move smoothly between states of alertness, sleep, feeding on schedule, able to make use of caregiver/pacifier to be soothed, and moving toward regulating themselves (e.g., infant can begin to calm to caregiver's voice prior to being picked up). Toddlers are able to make use of caregiver to help regulate emotions, fall asleep with appropriate transitional objects, can attend to play with increased attention and play is becoming more elaborated, or have some ability to calm themselves down.","Identified need requires monitoring, watchful waiting, or preventive activities. At least one area of concern about an area of regulation--breathing, body temperature, sleep, transitions, feeding, crying--but caregiver feels that adjustments on their part are effective in assisting child to improve regulation; monitoring is needed.","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Concern in one or more areas of regulation: sleep, crying, feeding, tantrums, sensitivity to touch, noise, and environment. Referral to address self-regulation is needed.","Problems are dangerous or disabling; requires immediate and/or intensive action. Concern in two or more areas of regulation, including but not limited to: difficulties in breathing, body movements, crying, sleeping, feeding, attention, ability to self soothe, and/or sensitivity to environmental stressors.",,,,,"• Does the child have particular challenges around transitioning from one activity to another resulting at times in the inability to engage in activities? 
• Does the child have severe reactions to changes in temperature or clothing such that it interferes with engaging in activities/school or play?
• Does the child require more adult supports to cope with frustration than other children in similar settings? Does the child have more distressing tantrums or yelling fits than other children?
",,1,,1,,,1,,
65,,EC08,Atypical Behaviors,ATYPICAL_BEHAVIORS,"This item describes ritualized or stereotyped behaviors (whether the child repeats certain actions over and over again), or demonstrates behaviors that are unusual or difficult to understand. Behaviors may include mouthing after 1 year, head banging, smelling objects, spinning, twirling, hand flapping, finger-flicking, rocking, tow walking, staring at lights, or repetitive and bizarre verbalizations. ",No current need; no need for action or intervention. No evidence of atypical behaviors (repetitive or stereotyped behaviors) in the infant/child. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Atypical behaviors (repetitive or stereotyped behaviors) reported by caregivers or familiar individuals that may have mild or occasional interference in the child's functioning. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Atypical behaviors (repetitive or stereotyped behaviors) generally noticed by unfamiliar people and have notable interference in the child's functioning. ,"Problems are dangerous or disabling; requires immediate and/or intensive action. Atypical behaviors (repetitive or stereotyped behaviors) occur with high frequency, and are disabling or dangerous. ",,,,,"• Does the child exhibit behaviors that are unusual or difficult to understand?
• Does the child engage in certain repetitive actions?
• Are the unusual behaviors or repeated actions interfering with the child's functioning?
",,1,,1,,,1,,
66,,EC11,Early Education,EARLY_EDUCATION,"This item rates the child's experiences in educational settings (such as daycare and preschool) and the child's ability to get their needs met in these settings. This item also considers the presence of problems within these environments in terms of attendance, progress, support from the school staff to meet the child's needs, and the child's behavioral response to these environments. ",No current need; no need for action or intervention. No evidence of problem with functioning in current educational environment. ,"Identified need requires monitoring, watchful waiting, or preventive activities. History or evidence of problems with functioning in current daycare or preschool environment. Child may be enrolled in a special program. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child is experiencing difficulties maintaining their behavior, attendance, and/or progress in this setting. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child's problems with functioning in the daycare or preschool environment place them at immediate risk of being removed from program due to their behaviors, lack of progress, or unmet needs. ",,,,,"• What is the child's experience in preschool/daycare?
• Does the child have difficulties with learning new skills, social relationships or behavior?
",,1,,1,,,1,,
67,,EC12,Social and Emotional Functioning,SOCIAL_EMOTIONAL_FUNCTIONING,"This item rates the child's social and relationship functioning. This includes age appropriate behavior and the ability to make and maintain relationships during the past 30 days. When rating this item, consider the child's level of development.",No current need; no need for action or intervention. No evidence of problems with social functioning; child has positive social relationships.,"Identified need requires monitoring, watchful waiting, or preventive activities. Child is having some problems in social relationships. Infants may be slow to respond to adults, Toddlers may need support to interact with peers and preschoolers may resist social situations. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child is having problems with their social relationships. Infants may be unresponsive to adults, and unaware of other infants. Toddlers may be aggressive and resist parallel play. Preschoolers may argue excessively with adults and peers and lack ability to play in groups even with adult support. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child is experiencing disruptions in their social relationships. Infants show no ability to interact in a meaningful manner. Toddlers are excessively withdrawn and unable to relate to familiar adults. Preschoolers show no joy or sustained interaction with peers or adults, and/or aggression may be putting others at risk. ",,,,,"• How does the child get along with others? 
• Can an infant engage with and respond to adults? Can a toddler interact positively with peers?
• Does the child interact with others in an age-appropriate manner?
",,1,,1,,,1,,
68,,EC16,Exploited,EXPLOITED,"This item describes a history and pattern of being the object of abuse and includes a level of current risk for re-victimization. For children birth to age five, this can include sexual exploitation or being taken advantage of by others.",No current need; no need for action or intervention. No evidence of a history of exploitation OR no evidence of recent exploitation and no significant history of victimization within the past year. Child is not presently at risk for re-victimization. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Suspicion or history of exploitation, but the child has not been exploited during the past year. Child is not presently at risk for re-victimization. ","Identified need requires monitoring, watchful waiting, or preventive activities. Suspicion or history of exploitation, but the child has not been exploited during the past year. Child is not presently at risk for re-victimization. ",Problems are dangerous or disabling; requires immediate and/or intensive action. Child has recently been exploited and is at acute risk of re-exploitation. ,,,,,"• Has the child ever been victimized in any way (e.g. mugged, teased, bullied, abused, victim of a crime, etc.)? 
• Are there concerns that they have been or is currently being taken advantage of by peers or other adults? 
• Is the child currently at risk of being victimized by another person?
",,1,,1,,1,1,,
69,,EC17,Prenatal Care,PRENATAL_CARE,This refers to the health care and pregnancy-related illness of the mother that impacted the child in utero.,No current need; no need for action or intervention. Child's biological mother had adequate prenatal care (e.g. 10 or more planned visits to a physician) that began in the first trimester. Child's mother did not experience any pregnancy-related illnesses. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child's biological mother had some shortcomings in prenatal care, or had a mild form of a pregnancy-related illness. A child whose mother had 6 or fewer planned visits to a physician would be rated here; her care must have begun in the first or early second trimester. A child whose mother had a mild or well-controlled form of pregnancy-related illness such as gestational diabetes, or who had an uncomplicated high-risk pregnancy, would be rated here. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child's biological mother received poor prenatal care, initiated only in the last trimester, or had a moderate form of pregnancy-related illness. A child whose mother had 4 or fewer planned visits to a physician would be rated here. A mother who experienced a high-risk pregnancy with some complications would be rated here. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child's biological mother had no prenatal care, or had a severe form of pregnancy-related illness. A mother who had toxemia/preeclampsia would be rated here. ",,,,,"• What kind of prenatal care did the biological mother receive?
• Did the mother have any unusual illnesses or risks during pregnancy?
",,1,,1,,1,1,,
70,,EC18,Exposure,EXPOSURE,This item describes the child's exposure to environmental toxins and substance use and abuse both before and after birth.,"No current need; no need for action or intervention. Child had no in utero exposure to environmental toxins, alcohol or drugs, and there is currently no exposure in the home. ","Identified need requires monitoring, watchful waiting, or preventive activities. Child had either some in utero exposure (e.g. mother ingested alcohol or tobacco in small amounts fewer than four times during pregnancy, or exposure to lead at home), or there is current alcohol and/or drug use in the home or environmental toxins in the home or community. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child was exposed to significant environmental toxins, alcohol or drugs in utero. Any ingestion of illegal drugs during pregnancy (e.g., heroin, cocaine), significant use of alcohol or tobacco, or exposure to environmental toxins would be rated here. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child was exposed to environmental toxins, alcohol or drugs in utero and continues to be exposed in the home or community. Any child who evidenced symptoms of substance withdrawal at birth (e.g., crankiness, feeding problems, tremors, weak and continual crying) would be rated here. A child who ingested lead paint and exhibited symptoms would be rated here. ",,,,,"Was the child exposed to substances during the pregnancy? If so, what substances?",,1,,1,,1,1,,
71,,EC19,Labor and Delivery,LABOR_DELIVERY,"This dimension refers to conditions associated with, and consequences arising from, complications in labor and delivery of the child during childbirth.",No current need; no need for action or intervention. Child and mother had normal labor and delivery. A child who received an Apgar score of 7-10 at birth would be rated here. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child or mother had some mild problems during delivery, but there is no history of adverse impact. An emergency C-section or a delivery-related physical injury (e.g. shoulder displacement) to the baby is rated here. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child or mother had problems during delivery that resulted in temporary functional difficulties for the child or mother. Extended fetal distress, postpartum hemorrhage, or uterine rupture would be rated here. A child who received an Apgar score of 4-7, or needed some resuscitative measures at birth is rated here. ","Problems are dangerous or disabling; requires immediate and/or intensive action. Child had severe problems during delivery that have long-term implications for development (e.g. extensive oxygen deprivation, brain damage). A child who received an Apgar score of 3 or lower, or who needed immediate or extensive resuscitative measures at birth, would be rated here. ",,,,,Where there any unusual circumstances related to the labor and delivery of the child?,,1,,1,,1,1,,
72,,EC20,Birth Weight,BIRTH_WEIGHT,This describes the child's birth weight as compared to normal development.,No current need; no need for action or intervention. Child within normal range for weight at birth. A child with a birth weight of 2500 grams (5.5 pounds) or greater would be rated here. ,"Identified need requires monitoring, watchful waiting, or preventive activities. Child born underweight. A child with a birth weight of between 1500 grams (3.3. pounds) and 2499 grams would be rated here. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child considerably under-weight at birth to the point of presenting a development risk to them. A child with a birth weight of 1000 grams (2.2 pounds) to 1499 grams would be rated here. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child extremely under-weight at birth to the point of threatening their life. A child with a birth weight of less than 1000 grams (2.2 pounds) would be rated here. ,,,,,How did the child's birth weight compare to typical averages?,,1,,1,,1,1,,
73,,EC21,Failure to Thrive,FAILURE_TO_THRIVE,This item rates the presence of problems with weight gain or growth. ,No current need; no need for action or intervention. No evidence of failure to thrive. ,"Identified need requires monitoring, watchful waiting, or preventive activities. The infant/child may have experienced past problems with growth and ability to gain weight and is currently not experiencing problems. The infant/child may presently be experiencing slow development in this area. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. The infant or child is experiencing problems in their ability to maintain weight or growth. The infant or child may be below the 5th percentile for age and sex, may weigh less than 80% of their ideal weight for age, have depressed weight for height, or have a rate of weight gain that causes a decrease in two or more major percentile lines over time (75th to 25th). ",Problems are dangerous or disabling; requires immediate and/or intensive action. The infant/child has one or more of all of the above and is currently at serious medical risk. ,,,,,"• Does the child have any problems with weight gain or growth either now or in the past?
• Are there any concerns about the child's eating habits?
• Does the child's doctor have any concerns about the child's growth or weight gain?
",,1,,1,,1,1,,
74,,EC29,Relationship Permanence,RELATIONSHIP_PERMANENCE,This item refers to the stability and consistency of significant relationships in the child's life. This likely includes family members but may also include other adults and/or peers.,"Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. Child has very stable relationships. Family members, friends, and community have been stable for most of their life and are likely to remain so in the foreseeable future. Child is involved with their parents. ","Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Child has had stable relationships but there is some concern about instability in the near future (one year) due to transitions, illness, or age. A stable relationship with only one parent may be rated here. ","Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Child has had at least one stable relationship over his/her lifetime but has experienced other instability through factors such as divorce, moving, removal from home, and death. ",An area in which no current strength is identified; efforts are needed to identify potential strengths. Child does not have any stability in relationships. Independent living or adoption must be considered. ,,,,,"• Has anyone consistently been in the child's life since birth? 
• Are there other significant adults in the child's life?
• Has the child been in multiple home placements?
",,1,,1,,1,1,,
75,,EC30,Playfulness,PLAYFULLNESS,"This item rates the degree to which an infant/child is given opportunities for and participates in age appropriate play. Play should be understood developmentally. When rating this item, you should consider if the child is interested in play and/or whether the child needs adult support while playing. Problems with either solitary or group (e.g. parallel) play could be rated here. ","Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. The child consistently demonstrates the ability to make use of play to further their development. Their play is consistently developmentally appropriate, spontaneous, self-initiated and enjoyable. ","Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. The child demonstrates play that is developmentally appropriate, self-initiated, spontaneous and enjoyable much of the time. Child needs some assistance making full use of play. ",Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. The child demonstrates the ability to enjoy play and use it to support their development some of the time or with support of a caregiver. Even with this in place there does not appear to be investment and enjoying in the child. ,An area in which no current strength is identified; efforts are needed to identify potential strengths. The child does not demonstrate the ability to play in a developmentally appropriate or quality manner. ,,,,,"• Is the child easily engaged in play?
• Does the child initiate play? Can the child sustain play?
• Does the child need adult support in initiating and sustaining play more than what is developmentally appropriate?
",,1,,1,,,1,,
76,,EC32,Caregiver Emotional Responsiveness,CAREGIVER_EMOTIONAL_RESPONSIVENESS,"This item refers to the caregiver's ability to understand and respond to the joys, sorrows and other feelings of the child with similar or helpful feelings.",No current need; no need for action or intervention. This may be strength of the caregiver. Caregiver is emotionally empathic and attends to the child's emotional needs. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. The caregiver can be emotionally empathic and typically attends to the child's emotional needs. There are times, however, when the caregiver is not able to attend to the child's emotional needs. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with caregiver's functioning. The caregiver is often not empathic and frequently is unable to attend to the child's emotional needs. ,Problems are dangerous or disabling; requires immediate and/or intensive action. The caregiver has significant difficulties with emotional responsiveness. They are not empathic and rarely attends to the child's emotional needs. ,,,,,"• Is the caregiver able to empathize with the child?
• Is the caregiver able to respond to the child's needs in an emotionally appropriate manner?
• Is the caregiver's level of empathy impacting the child's development?
",,1,,1,,,1,,
77,,EC33,Caregiver Adj to Trauma Exp,CAREGIVER_ADJ_TRAUMA_EXP,This rating covers the caregiver's reactions to a variety of traumatic experiences that challenges the caregiver's ability to provide care for the child/youth. ,"No current need; no need for action or intervention. This may be strength of the caregiver. There is no evidence that the caregiver has experienced trauma, OR there is evidence that the caregiver has adjusted well to their traumatic experiences. ","Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. The caregiver has mild adjustment problems and exhibits some signs of distress, OR caregiver has a history of having difficulty adjusting to traumatic experiences. ","Action or intervention is required to ensure that the identified need is addressed; need is interfering with caregiver's functioning. The caregiver has marked adjustment problems and is symptomatic in response to a traumatic event (e.g., anger, depression, and anxiety). ","Problems are dangerous or disabling; requires immediate and/or intensive action. The caregiver has post-traumatic stress difficulties. Symptoms may include intrusive thoughts, hyper-vigilance, constant anxiety, and other common symptoms of Post-Traumatic Stress Disorder (PTSD). ",,,,,"• Has the caregiver experienced a traumatic event? 
• Does the caregiver experience frequent nightmares?
• Are they troubled by flashbacks?
• What are the caregiver's current coping skills?
",,1,,1,,,1,,
78,,EC44,Family Relationship to the System,FAMILY_RELATIONSHIP_TO_SYSTEM,"This item describes the degree to which the family's apprehension to engage with the formal health care system creates a barrier to receipt of care. For example, if a family refuses to see a psychiatrist due to their belief that medications are over-prescribed for children, a clinician must consider this belief and understand its impact on the family's choices. These complicated factors may translate into generalized discomfort with the formal health care system and may require the care provider to reconsider their approach.",No current need; no need for action or intervention. This may be a strength of the caregiver. The caregiver expresses no concerns about engaging with the formal helping system. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. The caregiver expresses some hesitancy to engage with the formal helping system that is easily rectified with clear communication about intentions or past issues engaging with the formal helping system. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. The caregiver expresses hesitancy to engage with the formal helping system that requires significant discussions and possible revisions to the treatment plan. ,"Problems are dangerous or disabling; requires immediate and/or intensive action The caregiver's hesitancy to engage with the formal helping system prohibits the family's engagement with the treatment team at this time. When this occurs, the development of an alternate treatment plan may be required. ",,,,,"• Does the caregiver express any hesitancy in engaging in formal services? 
• How does the caregiver's hesitancy impact their engagement in care for their child?
",,1,,1,,,1,,
79,,EC45,Legal Involvement,LEGAL_INVOLVEMENT,"This item rates the caregiver's level of involvement in the criminal justice system which impacts their ability to parent. This includes divorce, civil disputes, custody, eviction, property issues, worker's comp, immigration etc.",No current need; no need for action or intervention. This may be a strength of the caregiver. Caregiver has no known legal difficulties. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver has a history of legal problems but currently is not involved with the legal system. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has some legal problems and is currently involved in the legal system. ,Problems are dangerous or disabling; requires immediate and/or intensive action Caregiver has serious current or pending legal difficulties that place them at risk for incarceration. A caregiver needs an immediate comprehensive and community-based intervention. A caregiver who is incarcerated would be rated here. ,,,,,"• Is one or more of the caregivers incarcerated or on probation?
• Is one or more of the caregivers struggling with immigration or legal documentation issues?
• Is the caregiver involved in civil disputes, custody, family court?
",,1,,1,,,1,,
80,,EC46,Organization,ORGANIZATION,This item is used to rate the caregiver's ability to organize and manage their household within the context of intensive community services. ,No current need; no need for action or intervention. This may be a strength of the caregiver. Caregiver is well organized and efficient. ,"Identified need requires monitoring, watchful waiting, or preventive activities. This may be an opportunity for strength building. Caregiver has minimal difficulties with organizing and maintaining household to support needed services. For example, may be forgetful about appointments or occasionally fails to return case manager calls. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Caregiver has moderate difficulty organizing and maintaining household to support needed services. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Caregiver is unable to organize household to support needed services. ,,,,,"• Do caregivers need or want help with managing their home?
• Do they have difficulty getting to appointments or managing a schedule?
• Do they have difficulty getting their child/youth to appointments or school?
",,1,,1,,,1,,
81,,EC15,Self-Harm,SELF_HARM,"This item includes reckless and dangerous behaviors that, while not intended to harm self or others, place the child or others at some jeopardy. The child must be 12 months of age to rate this item.",No current need; no need for action or intervention. There is no evidence of self-harm behaviors. ,"Identified need requires monitoring, watchful waiting, or preventive activities. History, suspicion or some evidence of self-harm behaviors. These behaviors are controllable by caregiver. ",Action or intervention is required to ensure that the identified need is addressed; need is interfering with functioning. Child's self-harm behaviors such as head banging that cannot be impacted by supervising adult and interferes with their functioning. ,Problems are dangerous or disabling; requires immediate and/or intensive action. Child's self-harm behavior that puts their safety and well-being at risk. ,,,1,,"• Has the child head banged or done other self-harming behaviors?
• If so, does the caregiver's support help stop the behavior?
",,1,,1,,,1,1,
82,,EC31,Family Spiritual/Religious,FAMILY_SPRITUAL_RELIGIOUS,"This item refers to the family's experience of receiving comfort and support from religious or spiritual involvement. This item rates the presence of beliefs that could be useful to the family; however, an absence of spiritual and/or religious beliefs does not represent a need for the family.",Well-developed or centerpiece strength; may be used as a protective factor and a centerpiece of a strength-based plan. This level indicates a family with strong moral and spiritual strengths. Family may be very involved in a religious community or may have strongly held spiritual or religious beliefs that can sustain or comfort them in difficult times. ,"Useful strength is evident but requires some effort to maximize the strength. Strength might be used and built upon in treatment. Family is involved in and receives some comfort and/or support from spiritual and/or religious beliefs, practices and/or community. ",Strengths have been identified but require significant strength building efforts before they can be effectively utilized as part of a plan. Family has expressed some interest in spiritual or religious belief and practices and may have little contact with religious institutions. ,"An area in which no current strength is identified; efforts are needed to identify potential strengths. There is no evidence of identified spiritual or religious beliefs, nor does the family show any interest in these pursuits at this time. ",,,,,"• Does the family have spiritual beliefs that provide comfort?
• Is the family involved with any religious community? 
• Is family interested in exploring spirituality?
",,,,1,,,1,,
